id,depth,type_new,Type_simple,type,d13C,d15N,C/N,POC,PON
Hadal_Sed_A5_0_1cm_7890m,7890,Hadal_Sed,Hadal_Sed,Hadal_Sed,-23,11.1,7.6,0.7,0.1
Hadal_Sed_A5_1_2cm_7890m,7890,Hadal_Sed,Hadal_Sed,Hadal_Sed,-23.6,10.8,7.5,0.5,0.1
Hadal_Sed_A5_2_3cm_7890m,7890,Hadal_Sed,Hadal_Sed,Hadal_Sed,-23.4,9.8,7.2,0.4,0.1
Hadal_Sed_A4_0_1cm_8063m,8063,Hadal_Sed,Hadal_Sed,Hadal_Sed,-23.3,9.9,7.9,0.6,0.1
Hadal_Sed_A4_1_2cm_8063m,8063,Hadal_Sed,Hadal_Sed,Hadal_Sed,-23.4,9.6,7.4,0.5,0.1
Hadal_Sed_A4_2_3cm_8063m,8063,Hadal_Sed,Hadal_Sed,Hadal_Sed,-23.3,9.8,7.4,0.4,0.1
Hadal_Sed_A10_0_1cm_7734m,7734,Hadal_Sed,Hadal_Sed,Hadal_Sed,-22.8,11.9,7.7,1.3,0.2
Hadal_Sed_A10_2_3cm_7734m,7734,Hadal_Sed,Hadal_Sed,Hadal_Sed,-22.7,12.4,7.4,1,0.1
Bathyal_Sed_B22_545m,545,Bathyal_Sed,non-hadal sediments,Bathyal_Sed,-22.9,10.6,8.8,1.6,0.2
Bathyal_Sed_B12_529m,529,Bathyal_Sed,non-hadal sediments,Bathyal_Sed,-22.1,11.8,9.4,5.8,0.6
Bathyal_Sed_B11_1113m,1113,Bathyal_Sed,non-hadal sediments,Bathyal_Sed,-22.2,12.4,8.5,3.3,0.4
Bathyal_Sed_B08_539m,539,Bathyal_Sed,non-hadal sediments,Bathyal_Sed,-21.9,10,8.7,0.4,0.1
Bathyal_Sed_B07_920m,920,Bathyal_Sed,non-hadal sediments,Bathyal_Sed,-22.4,12.9,8.1,2.5,0.3
Bathyal_Sed_B05_957m,957,Bathyal_Sed,non-hadal sediments,Bathyal_Sed,-22.2,11.7,8.1,1.3,0.2
Bathyal_Sed_B04_1200m,1200,Bathyal_Sed,non-hadal sediments,Bathyal_Sed,-21.8,12.4,7.7,1.3,0.2
Water_A1_5m,5,Epipelagic ,Water_column,Epipelagic ,-24.5,10.2,8.3,71,10.75
Water_A1_20m,20,Epipelagic ,Water_column,Epipelagic ,-25.9,9.2,7.8,62.03,9.92
Water_A1_60m,60,Epipelagic ,Water_column,Epipelagic ,-27.8,9.1,11.1,19.18,2.15
Water_A1_200m,200,Epipelagic ,Water_column,Epipelagic ,-25.8,7.7,8.8,19.76,2.8
Water_A2_5m,5,Epipelagic ,Water_column,Epipelagic ,-20.5,11.2,8.4,97.5,14.46
Water_A2_20m,20,Epipelagic ,Water_column,Epipelagic ,-23.7,9.9,9.4,128.97,17.18
Water_A2_60m,60,Epipelagic ,Water_column,Epipelagic ,-26.3,10.5,10.2,63.58,7.81
Water_A2_200m,200,Epipelagic ,Water_column,Epipelagic ,-26.2,9.9,10.5,46.53,5.56
Water_A4_5m,5,Epipelagic ,Water_column,Epipelagic ,-23.4,11,7,65.57,11.78
Water_A4_20m,20,Epipelagic ,Water_column,Epipelagic ,-28.5,10.1,19.9,115.77,7.27
Water_A4_60m,60,Epipelagic ,Water_column,Epipelagic ,-27.5,8.1,12.3,49.76,5.05
Water_A4_200m,200,Epipelagic ,Water_column,Epipelagic ,-26.9,7.8,12.7,50.26,4.96
Water_A6_5m,5,Epipelagic ,Water_column,Epipelagic ,-22,10.7,7,95.73,17.13
Water_A1_500m,500,Dark_Ocean,Water_column,Mesopelagic,-27.6,8.2,10.5,16.5,1.96
Water_A1_1000m,1000,Dark_Ocean,Water_column,Mesopelagic,-27.2,9.4,11.3,12.16,1.35
Water_A2_500m,500,Dark_Ocean,Water_column,Mesopelagic,-27.4,8.7,13.7,26.09,2.38
Water_A2_1000m,1000,Dark_Ocean,Water_column,Mesopelagic,-26.5,8.5,11.6,16.33,1.76
Water_A4_500m,500,Dark_Ocean,Water_column,Mesopelagic,-29.2,6.9,23.6,71.5,3.79
Water_A4_1000m,1000,Dark_Ocean,Water_column,Mesopelagic,-26.2,9,10.5,13.95,1.65
Water_A6_1000m,1000,Dark_Ocean,Water_column,Mesopelagic,-27.2,6.4,13.4,13.28,1.24
Water_A2_2000m,2000,Dark_Ocean,Water_column,Bathypelagic,-27.1,7.3,11.9,13.03,1.37
Water_A2_3000m,3000,Dark_Ocean,Water_column,Bathypelagic,-24.2,8.1,10,12.08,1.51
Water_A2_4000m,4000,Dark_Ocean,Water_column,Bathypelagic,-25.9,6.6,9.2,7.52,1.02
Water_A4_2000m,2000,Dark_Ocean,Water_column,Bathypelagic,-26.3,8.3,11.4,12.49,1.37
Water_A4_3000m,3000,Dark_Ocean,Water_column,Bathypelagic,-26.1,8.9,10.4,7.46,0.9
Water_A4_4000m,4000,Dark_Ocean,Water_column,Bathypelagic,-26.1,8.1,9.7,9.89,1.27
Water_A6_2000m,2000,Dark_Ocean,Water_column,Bathypelagic,-27.4,8.2,16.8,13.52,1.01
Water_A6_3000m,3000,Dark_Ocean,Water_column,Bathypelagic,-27,7.1,13.8,7.63,0.69
Water_A6_4000m,4000,Dark_Ocean,Water_column,Bathypelagic,-26.7,8.1,12.7,7.46,0.74
Water_A6_5000m,5000,Dark_Ocean,Water_column,Abyssopelagic,-21.6,7.1,7.4,22.64,3.82
Water_A6_6000m,6000,Dark_Ocean,Water_column,Abyssopelagic,-25.9,7.9,10.4,6.64,0.8
Water_A2_5000m,5000,Dark_Ocean,Water_column,Abyssopelagic,-25.4,7.8,9.4,10.56,1.41
Water_A2_6000m,6000,Dark_Ocean,Water_column,Abyssopelagic,-26.5,7.9,11.2,9.85,1.1
Water_A4_5000m,5000,Dark_Ocean,Water_column,Abyssopelagic,-25.4,6.8,8.4,6.73,1
